pm25,pm10,no2,so2,co,o3,AQI
22.031624999999995,30.056000000000008,6.0,2.0,10.0,15.0,95.95083333333332
20.859299999999998,29.120000000000005,3.0,1.0,8.0,16.0,91.23716666666667
20.212500000000002,28.912000000000003,6.0,3.0,10.0,16.0,88.60750000000002
20.172075,29.64,3.0,2.0,10.0,16.0,90.74172222222224
22.3685,33.07200000000001,3.0,2.0,10.0,16.0,101.03788888888892
25.157825000000003,36.504000000000005,6.0,1.0,9.0,16.0,119.36072222222225
50.813,58.64,6.0,2.0,9.0,15.0,138.7355
53.45899999999999,58.67999999999999,3.0,3.0,7.0,16.0,156.836
57.25999999999999,58.2,6.0,3.0,9.0,16.0,168.397
58.169999999999995,54.2,3.0,1.0,9.0,16.0,176.46
83.7,47.4,3.0,1.0,10.0,16.0,170.542
76.42,41.8,3.0,3.0,12.0,16.0,160.44400000000005
73.92,38.0,3.0,1.0,10.0,8.0,135.9976
43.033199999999994,32.4,3.0,1.0,8.0,15.0,110.48746666666669
46.932,26.8,3.0,6.0,7.0,9.0,79.80893333333334
13.602959999999994,28.6,6.0,1.0,5.0,7.0,63.733466666666686
14.308559999999998,31.2,3.0,6.0,5.0,30.0,56.1852888888889
13.888559999999998,33.8,3.0,4.66666666666666,7.0,8.0,59.95502222222223
27.518399999999996,38.6,3.0,3.33333333333333,25.0,10.0,67.35293333333334
33.359199999999994,43.4,6.0,2.0,25.0,19.0,79.83813333333335
39.199999999999996,43.2,3.0,1.75,13.0,9.0,87.36126666666668
37.190999999999995,40.6,3.0,1.5,6.0,9.0,85.15844444444447
30.526999999999997,36.6,3.0,1.25,4.0,11.0,73.22966666666669
23.863,32.4,6.0,1.0,4.0,12.0,58.686666666666696
5.6888999999999985,31.2,3.0,1.5,6.0,11.0,46.46455555555557
4.606979999999999,30.4,3.0,2.0,8.0,15.0,37.804444444444464
7.529759999999999,31.7,3.0,1.0,10.0,25.0,34.907777777777795
9.187919999999998,32.5,6.0,2.0,10.0,26.0,36.320000000000014
7.3439999999999985,33.3,3.0,1.0,18.0,14.0,39.40000000000002
10.316879999999998,32.7,3.0,1.0,18.0,15.0,39.143333333333345
8.993879999999997,33.7,6.0,7.0,25.5,33.0,41.262222222222235
11.883479999999995,36.4,6.0,2.0,33.0,27.0,44.26777777777779
6.29454,41.0,3.0,1.5,5.0,10.0,48.673333333333346
20.540799999999994,45.8,3.0,1.0,29.0,19.0,49.554444444444464
12.059879999999998,49.8,6.0,1.66666666666666,32.3333333333333,46.0,52.15186666666668
7.167719999999997,52.2,6.0,2.33333333333333,35.6666666666666,47.0,53.52911111111112
6.562079999999999,51.2,6.0,3.0,39.0,37.0,54.10551111111112
12.736079999999996,50.2,6.0,2.6,26.0,16.0,51.44586666666668
12.542039999999998,49.0,6.0,2.2,27.0,34.0,50.333066666666674
12.524399999999998,47.4,6.0,1.8,24.0,34.0,48.42333333333335
5.27436,45.8,3.0,1.65,19.0,34.0,47.70000000000002
5.045039999999998,47.6,3.0,1.0,15.0,37.0,48.36853333333335
4.689299999999993,50.72,6.0,1.04347826086956,8.0,4.0,51.35626666666668
10.007759999999974,53.839999999999996,6.0,1.08695652173913,9.66666666666666,3.33333333333333,52.69866666666669
5.547191999999987,50.64,6.0,1.17391304347826,13.0,2.0,50.978577777777765
5.864711999999987,46.44,5.4,1.65,11.4,2.0,46.74595555555552
10.600463999999976,40.839999999999996,3.0,1.65,5.0,2.0,42.213111111111054
9.583223999999987,33.92,3.0,1.65,5.0,2.0,38.028666666666645
8.565983999999997,25.8,6.0,1.65,2.0,2.0,33.80688888888889
3.704399999999999,23.6,3.0,1.65,1.0,2.0,31.272888888888904
3.833759999999999,25.6,3.0,1.65,2.0,2.0,32.697777777777794
9.643199999999998,27.6,3.0,1.65,7.0,2.0,37.47333333333335
18.365199999999998,26.8,3.0,1.65,6.4,4.0,42.70000000000002
19.3648,27.2,3.0,1.65,5.8,2.0,45.453333333333354
11.724719999999998,29.6,3.0,1.65,5.2,2.0,51.45804444444446
15.361919999999998,37.4,3.0,1.65,4.0,2.0,64.70542222222224
21.561119999999995,48.8,3.0,1.65,4.0,2.0,93.63440000000003
69.792,63.0,3.0,1.65,3.0,2.0,140.15973333333335
90.09599999999999,76.4,3.0,1.65,4.0,2.0,200.9834666666667
110.4,86.2,3.0,1.65,5.0,1.0,253.77428134075322
120.0,87.4,3.0,2.0,3.0,1.0,284.19654749846745
120.0,87.6,3.0,2.0,1.0,1.0,290.2157453304056
120.0,88.0,6.0,5.0,7.0,2.0,282.4270639896524
110.4,97.6,4.0,2.0,13.0,7.0,263.7791978319382
100.8,107.5,2.0,5.0,10.0,2.0,236.64000000000001
