date, pm25, pm10, o3, no2, co,location
2022-05-02,77,50,16,19,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-03,101,55,17,19,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-04,113,63,18,18,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-05,137,95,8,19,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-06,169,92,18,4,9,"Siddharth Nagar-Worli, Mumbai"
2022-05-07,168,56,9,22,11,"Siddharth Nagar-Worli, Mumbai"
2022-05-08,124,59,12,5,9,"Siddharth Nagar-Worli, Mumbai"
2022-05-09,97,39,4,19,11,"Siddharth Nagar-Worli, Mumbai"
2022-05-10,66,34,6,5,9,"Siddharth Nagar-Worli, Mumbai"
2022-05-11,78,50,13,18,11,"Siddharth Nagar-Worli, Mumbai"
2022-05-12,102,28,12,19,10,"Siddharth Nagar-Worli, Mumbai"
2022-05-13,67,29,8,19,10,"Siddharth Nagar-Worli, Mumbai"
2022-05-14,63,30,5,18,10,"Siddharth Nagar-Worli, Mumbai"
2022-05-15,66,36,26,18,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-16,76,38,27,19,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-17,82,56,15,19,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-18,110,92,24,18,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-19,156,104,12, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-20,176,79,9, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-21,158,50,8, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-22,103,35,3, ,3,"Siddharth Nagar-Worli, Mumbai"
2022-05-23,76,40,8, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-24,83,44,7, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-25,92,50,7, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-26,106,38,7, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-27,80,32,8, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-05-28,70,37,4, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-29,77,48,8, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-30,99,51,4, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-05-31,107,53,9, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-06-01,112,59,10, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-06-02,127,61,5, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-06-03,133,48,7, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-06-04,99,38,10, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-06-05,83,39,9, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-06-06,83,34,9, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-06-07,76,18,9, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-06-08,47,17,10, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-09,43,27,4, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-10,58,14,3, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-11,36,9,5, ,7,"Siddharth Nagar-Worli, Mumbai"
